Date, node, time since harvest, inventory quantity 
2018-09-25,retailer,8,1.76
2018-09-25,retailer,7,6.81
2018-09-25,retailer,6,4.48
2018-09-25,retailer,5,0.00
2018-09-25,retailer,4,0.00
2018-09-25,retailer,3,0.00
2018-09-25,retailer,2,0.00
2018-09-25,retailer,1,0.00
2018-09-25,retailer,0,0.00
2018-09-26,supplier,9,0.00
2018-09-26,supplier,8,0.00
2018-09-26,supplier,7,0.00
2018-09-26,supplier,6,0.00
2018-09-26,supplier,5,1.26
2018-09-26,supplier,4,2.43
2018-09-26,supplier,3,4.61
2018-09-26,supplier,2,0.00
2018-09-26,supplier,1,0.00
2018-09-26,supplier,0,0.00
2018-09-26,retailer,9,0.00
2018-09-26,retailer,8,2.34
2018-09-26,retailer,7,6.81
2018-09-26,retailer,6,4.34
2018-09-26,retailer,5,0.00
2018-09-26,retailer,4,0.00
2018-09-26,retailer,3,0.00
2018-09-26,retailer,2,0.00
2018-09-26,retailer,1,0.00
2018-09-26,retailer,0,0.00
2018-09-27,supplier,9,0.00
2018-09-27,supplier,8,0.00
2018-09-27,supplier,7,0.00
2018-09-27,supplier,6,0.00
2018-09-27,supplier,5,2.01
2018-09-27,supplier,4,2.33
2018-09-27,supplier,3,5.90
2018-09-27,supplier,2,0.00
2018-09-27,supplier,1,0.00
2018-09-27,supplier,0,0.00
2018-09-27,retailer,9,0.00
2018-09-27,retailer,8,4.07
2018-09-27,retailer,7,3.64
2018-09-27,retailer,6,10.00
2018-09-27,retailer,5,0.00
2018-09-27,retailer,4,0.00
2018-09-27,retailer,3,0.00
2018-09-27,retailer,2,0.00
2018-09-27,retailer,1,0.00
2018-09-27,retailer,0,0.00
2018-09-28,supplier,9,0.00
2018-09-28,supplier,8,0.00
2018-09-28,supplier,7,0.00
2018-09-28,supplier,6,0.00
2018-09-28,supplier,5,2.58
2018-09-28,supplier,4,1.90
2018-09-28,supplier,3,4.98
2018-09-28,supplier,2,0.00
2018-09-28,supplier,1,0.00
2018-09-28,supplier,0,0.00
2018-09-28,retailer,9,0.00
2018-09-28,retailer,8,3.09
2018-09-28,retailer,7,4.61
2018-09-28,retailer,6,5.91
2018-09-28,retailer,5,0.00
2018-09-28,retailer,4,0.00
2018-09-28,retailer,3,0.00
2018-09-28,retailer,2,0.00
2018-09-28,retailer,1,0.00
2018-09-28,retailer,0,0.00
2018-09-29,supplier,9,0.00
2018-09-29,supplier,8,0.00
2018-09-29,supplier,7,0.00
2018-09-29,supplier,6,0.00
2018-09-29,supplier,5,0.66
2018-09-29,supplier,4,1.39
2018-09-29,supplier,3,2.92
2018-09-29,supplier,2,0.00
2018-09-29,supplier,1,0.00
2018-09-29,supplier,0,0.00
2018-09-29,retailer,9,0.00
2018-09-29,retailer,8,1.26
2018-09-29,retailer,7,6.35
2018-09-29,retailer,6,4.61
2018-09-29,retailer,5,0.00
2018-09-29,retailer,4,0.00
2018-09-29,retailer,3,0.00
2018-09-29,retailer,2,0.00
